#r1	r2	sample_id	job_id	cross
DHRO22xGMR2_2.R1.fq.gz	DHRO22xGMR2_2.R2.fq.gz	DHRO22xGMR2_2	2DxG	DHRO22xGMR2
DHRO22xGMR2_3.R1.fq.gz	DHRO22xGMR2_3.R2.fq.gz	DHRO22xGMR2_3	3DxG	DHRO22xGMR2
GMR2xDHRO22_1.R1.fq.gz	GMR2xDHRO22_1.R2.fq.gz	GMR2xDHRO22_1	1GxD	GMR2xDHRO22
GMR2xDHRO22_2.R1.fq.gz	GMR2xDHRO22_2.R2.fq.gz	GMR2xDHRO22_2	2GxD	GMR2xDHRO22
GMR2xDHRO22_3.R1.fq.gz	GMR2xDHRO22_3.R2.fq.gz	GMR2xDHRO22_3	3GxD	GMR2xDHRO22
GMR2xDHRO22_4.R1.fq.gz	GMR2xDHRO22_4.R2.fq.gz	GMR2xDHRO22_4	4GxD	GMR2xDHRO22
MnHE5_S13_L001_R1_001.fastq.gz	MnHE5_S13_L001_R2_001.fastq.gz	DHRO22xGMR2_1	1DxG	DHRO22xGMR2
